Date,Open,High,Low,Close,Adj Close,Volume
2020-06-21,null,null,null,null,null,null
2020-06-22,3040.250000,3114.250000,3027.250000,3110.750000,3110.750000,1392325
2020-06-23,3111.750000,3145.750000,3060.000000,3118.500000,3118.500000,1528485
2020-06-24,3113.250000,3128.500000,3019.750000,3049.000000,3049.000000,2387916
2020-06-25,3046.750000,3079.500000,3005.000000,3070.750000,3070.750000,1967245
2020-06-26,3071.250000,3082.000000,2992.500000,3007.000000,3007.000000,2208418
2020-06-28,null,null,null,null,null,null
2020-06-29,2986.250000,3051.250000,2983.500000,3047.750000,3047.750000,1585146
2020-06-30,3046.000000,3101.250000,3030.250000,3090.250000,3090.250000,1724164
2020-07-01,3085.250000,3117.750000,3062.750000,3103.000000,3103.000000,1537321
2020-07-02,3101.750000,3156.500000,3095.500000,3129.000000,3129.000000,1552517
2020-07-05,null,null,null,null,null,null
2020-07-06,3125.250000,3174.500000,3105.750000,3172.000000,3172.000000,1459512
2020-07-07,3170.000000,3184.000000,3132.500000,3136.500000,3136.500000,1333466
2020-07-08,3135.250000,3166.250000,3125.500000,3163.500000,3163.500000,1527612
2020-07-09,3166.250000,3170.750000,3105.250000,3141.000000,3141.000000,1881833
2020-07-10,3142.250000,3181.250000,3111.500000,3178.500000,3178.500000,1408591
2020-07-12,null,null,null,null,null,null
2020-07-13,3183.500000,3226.250000,3140.500000,3148.250000,3148.250000,2074726
2020-07-14,3149.750000,3192.250000,3119.000000,3183.500000,3183.500000,2256766
2020-07-15,3204.000000,3233.250000,3192.000000,3219.500000,3219.500000,1937696
2020-07-16,3223.250000,3228.500000,3188.500000,3194.500000,3194.500000,1471311
2020-07-17,3198.500000,3225.250000,3194.750000,3214.000000,3214.000000,1261113
2020-07-19,null,null,null,null,null,null
2020-07-20,3214.500000,3250.500000,3190.250000,3245.250000,3245.250000,1401168
2020-07-21,3243.750000,3273.250000,3239.250000,3251.250000,3251.250000,1463931
2020-07-22,3249.250000,3271.750000,3227.250000,3265.500000,3265.500000,1354244
2020-07-23,3267.750000,3284.500000,3214.250000,3227.500000,3227.500000,1704453
2020-07-24,3230.000000,3239.000000,3191.500000,3204.000000,3204.000000,1761346
2020-07-26,null,null,null,null,null,null
2020-07-27,3210.750000,3235.000000,3192.000000,3232.250000,3232.250000,1299512
2020-07-28,3235.000000,3246.750000,3208.000000,3213.000000,3213.000000,1375293
2020-07-29,3215.000000,3257.000000,3204.250000,3252.500000,3252.500000,1218031
2020-07-30,3256.750000,3269.000000,3195.000000,3248.750000,3248.750000,2000721
2020-07-31,3269.250000,3273.750000,3212.500000,3263.500000,3263.500000,2282794
2020-08-02,null,null,null,null,null,null
2020-08-03,3272.000000,3295.500000,3254.750000,3288.500000,3288.500000,1250449
2020-08-04,3290.750000,3300.500000,3271.000000,3300.000000,3300.000000,1145269
2020-08-05,3300.750000,3323.250000,3292.000000,3316.000000,3316.000000,1116787
2020-08-06,3317.000000,3345.500000,3300.500000,3344.250000,3344.250000,1346665
2020-08-07,3343.750000,3347.750000,3322.250000,3344.750000,3344.750000,1615367
2020-08-09,null,null,null,null,null,null
2020-08-10,3347.000000,3357.250000,3329.000000,3352.750000,3352.750000,1201751
2020-08-11,3350.250000,3379.000000,3319.500000,3330.000000,3330.000000,1733040
2020-08-12,3339.500000,3382.500000,3326.250000,3370.000000,3370.000000,1408718
2020-08-13,3367.750000,3382.000000,3357.500000,3367.750000,3367.750000,1205758
2020-08-14,3369.250000,3380.500000,3350.000000,3361.500000,3361.500000,1084771
2020-08-16,null,null,null,null,null,null
2020-08-17,3366.000000,3382.750000,3364.750000,3379.750000,3379.750000,759304
2020-08-18,3379.250000,3390.750000,3365.250000,3387.000000,3387.000000,1019552
2020-08-19,3388.750000,3395.750000,3365.500000,3372.750000,3372.750000,1368420
2020-08-20,3370.250000,3387.000000,3344.750000,3380.750000,3380.750000,1203334
2020-08-21,3383.500000,3396.250000,3356.750000,3392.500000,3392.500000,1221450
2020-08-23,null,null,null,null,null,null
2020-08-24,3398.750000,3429.500000,3393.500000,3427.500000,3427.500000,1282950
2020-08-25,3427.000000,3448.750000,3421.750000,3443.000000,3443.000000,1133837
2020-08-26,3444.750000,3483.500000,3436.750000,3480.250000,3480.250000,1277539
2020-08-27,3479.500000,3498.250000,3464.750000,3485.250000,3485.250000,1633581
2020-08-28,3488.000000,3509.500000,3480.750000,3504.500000,3504.500000,1248430
2020-08-30,null,null,null,null,null,null
2020-08-31,3508.500000,3524.500000,3490.000000,3499.000000,3499.000000,1439600
2020-09-01,3493.250000,3530.000000,3484.250000,3527.000000,3527.000000,1283622
2020-09-02,3529.000000,3587.000000,3526.250000,3579.250000,3579.250000,1853078
2020-09-03,3578.750000,3586.500000,3424.500000,3461.500000,3461.500000,2872337
2020-09-04,3454.750000,3484.250000,3347.750000,3417.500000,3417.500000,2994363
2020-09-06,null,null,null,null,null,null
2020-09-08,3420.500000,3447.000000,3327.500000,3335.500000,3335.500000,2732946
2020-09-09,3315.250000,3424.000000,3295.500000,3400.250000,3400.250000,2011132
2020-09-10,3396.000000,3424.250000,3327.250000,3340.500000,3340.500000,2332667
2020-09-11,3345.250000,3375.000000,3308.750000,3333.750000,3333.750000,1876451
2020-09-13,null,null,null,null,null,null
2020-09-14,3350.000000,3402.750000,3345.500000,3382.500000,3382.500000,1378626
2020-09-15,3379.500000,3419.000000,3376.000000,3405.250000,3405.250000,874366
2020-09-16,3405.000000,3429.750000,3384.000000,3389.500000,3389.500000,571749
2020-09-17,3392.750000,3396.500000,3320.500000,3361.500000,3361.500000,384917
2020-09-18,3355.750000,3374.250000,3341.750000,3353.600098,3353.600098,2365554
2020-09-20,null,null,null,null,null,null
2020-09-21,3314.500000,3326.250000,3217.750000,3275.000000,3275.000000,2507980
2020-09-22,3271.500000,3309.500000,3256.500000,3299.250000,3299.250000,1576319
2020-09-23,3303.750000,3319.750000,3221.000000,3231.250000,3231.250000,1979661
2020-09-24,3228.000000,3268.250000,3198.000000,3238.000000,3238.000000,2277010
2020-09-25,3243.500000,3296.250000,3206.500000,3287.250000,3287.250000,1697090
2020-09-27,null,null,null,null,null,null
2020-09-28,3291.000000,3351.250000,3287.500000,3346.000000,3346.000000,1495804
2020-09-29,3348.750000,3363.000000,3316.500000,3333.750000,3333.750000,1326597
2020-09-30,3330.000000,3384.000000,3291.250000,3352.000000,3352.000000,2170601
2020-10-01,3344.750000,3388.000000,3343.250000,3367.750000,3367.750000,1517912
2020-10-02,3367.000000,3375.500000,3300.250000,3339.250000,3339.250000,2028921
2020-10-04,null,null,null,null,null,null
2020-10-05,3360.000000,3400.000000,3346.500000,3393.000000,3393.000000,1077474
2020-10-06,3392.000000,3421.750000,3330.500000,3353.250000,3353.250000,1701062
2020-10-07,3338.000000,3416.750000,3332.250000,3406.750000,3406.750000,1400616
2020-10-08,3406.250000,3447.250000,3405.500000,3437.500000,3437.500000,1104986
2020-10-09,3447.250000,3480.000000,3445.250000,3473.250000,3473.250000,1185272
2020-10-11,null,null,null,null,null,null
2020-10-12,3467.500000,3541.000000,3464.250000,3532.750000,3532.750000,1401063
2020-10-13,3534.000000,3535.750000,3491.500000,3504.750000,3504.750000,1617226
2020-10-14,3502.000000,3524.000000,3472.000000,3481.000000,3481.000000,1539718
2020-10-15,3479.250000,3486.500000,3431.500000,3475.500000,3475.500000,1650150
2020-10-16,3478.500000,3508.500000,3461.250000,3462.250000,3462.250000,1398947
2020-10-18,null,null,null,null,null,null
2020-10-19,3471.000000,3496.500000,3410.750000,3422.750000,3422.750000,1645853
2020-10-20,3436.000000,3469.750000,3418.750000,3432.250000,3432.250000,1702183
2020-10-21,3437.000000,3458.000000,3420.500000,3432.500000,3432.500000,1681275
2020-10-22,3430.250000,3453.000000,3402.500000,3449.250000,3449.250000,1501259
2020-10-23,3455.750000,3462.500000,3431.500000,3451.750000,3451.750000,1216313
2020-10-25,null,null,null,null,null,null
2020-10-26,3445.750000,3446.250000,3356.000000,3393.500000,3393.500000,1957780
2020-10-27,3394.250000,3410.000000,3368.250000,3383.000000,3383.000000,1566246
2020-10-28,3369.000000,3370.250000,3260.750000,3263.500000,3263.500000,2627180
2020-10-29,3279.000000,3333.750000,3250.250000,3302.250000,3302.250000,1965277
